error	correct_word	dsug	target	correct_word_in_dict	correct_word_in_dsuggestions	corwd_dist	corwd_se	corwd_me	error_char_count	error_consonant_count	error_vowel_count	error_capital_count	dsug_char_count	dsug_consonant_count	dsug_vowel_count	dsug_capital_count	dsug_contains_space	dsug_se	dsug_me	dsug_dist	dsug_lm_log_prob
Steffen	Stephen	Stiffen	0	True	False	2	True	True	7	5	2	1	7	5	2	1	False	True	True	1	0.0
Steffen	Stephen	Steffane	0	True	False	2	True	True	7	5	2	1	8	5	3	1	False	True	True	2	0.0
Steffen	Stephen	Stefano	0	True	False	2	True	True	7	5	2	1	7	4	3	1	False	True	True	3	0.0
susan	Susan	Susan	1	True	True	1	True	True	5	3	2	0	5	3	2	1	False	True	True	1	0.0
susan	Susan	Pusan	0	True	True	1	True	True	5	3	2	0	5	3	2	1	False	False	False	1	0.0
susan	Susan	Siusan	0	True	True	1	True	True	5	3	2	0	6	3	3	1	False	True	True	2	0.0
susan	Susan	Suzann	0	True	True	1	True	True	5	3	2	0	6	4	2	1	False	True	True	3	0.0
abilitey	ability	ability	1	True	True	1	True	True	8	4	4	0	7	4	3	0	False	True	True	1	0.0
abilitey	ability	tenabilities	0	True	True	1	True	True	8	4	4	0	12	6	6	0	False	False	False	5	0.0
abilitey	ability	rehabilitate	0	True	True	1	True	True	8	4	4	0	12	6	6	0	False	False	False	6	0.0
abilitey	ability	debilitate	0	True	True	1	True	True	8	4	4	0	10	5	5	0	False	False	False	5	0.0
abilitey	ability	debility	0	True	True	1	True	True	8	4	4	0	8	5	3	0	False	False	False	3	0.0
abilitey	ability	ablative	0	True	True	1	True	True	8	4	4	0	8	4	4	0	False	True	True	5	0.0
abilitey	ability	ablate	0	True	True	1	True	True	8	4	4	0	6	3	3	0	False	True	True	3	0.0
abouy	about	about	1	True	True	1	False	False	5	2	3	0	5	2	3	0	False	False	False	1	0.0
abouy	about	abound	0	True	True	1	False	False	5	2	3	0	6	3	3	0	False	False	False	2	0.0
abouy	about	abode	0	True	True	1	False	False	5	2	3	0	5	2	3	0	False	False	False	2	0.0
abouy	about	abort	0	True	True	1	False	False	5	2	3	0	5	3	2	0	False	False	False	2	0.0
absorbtion	absorption	absorption	1	True	True	1	True	True	10	6	4	0	10	6	4	0	False	True	True	1	0.0
absorbtion	absorption	absolution	0	True	True	1	True	True	10	6	4	0	10	5	5	0	False	False	False	2	0.0
absorbtion	absorption	absorbing	0	True	True	1	True	True	10	6	4	0	9	6	3	0	False	True	True	3	0.0
absorbtion	absorption	abstraction	0	True	True	1	True	True	10	6	4	0	11	7	4	0	False	False	False	3	0.0
absorbtion	absorption	absorbent	0	True	True	1	True	True	10	6	4	0	9	6	3	0	False	True	True	4	0.0
absorbtion	absorption	absorbency	0	True	True	1	True	True	10	6	4	0	10	7	3	0	False	True	True	4	0.0
absorbtion	absorption	abortionist	0	True	True	1	True	True	10	6	4	0	11	6	5	0	False	False	False	5	0.0
accidently	accidentally	accidentally	1	True	True	2	True	True	10	7	3	0	12	8	4	0	False	True	True	2	0.0
accidently	accidentally	accidental	0	True	True	2	True	True	10	7	3	0	10	6	4	0	False	True	True	2	0.0
accidently	accidentally	accident	0	True	True	2	True	True	10	7	3	0	8	5	3	0	False	True	True	2	0.0
accidently	accidentally	occidentally	0	True	True	2	True	True	10	7	3	0	12	8	4	0	False	False	False	3	0.0
accidently	accidentally	Occidental	0	True	True	2	True	True	10	7	3	0	10	6	3	1	False	False	False	3	0.0
accidently	accidentally	occidental	0	True	True	2	True	True	10	7	3	0	10	6	4	0	False	False	False	3	0.0
accomodate	accommodate	accommodate	1	True	True	1	True	True	10	5	5	0	11	6	5	0	False	True	True	1	0.0
accomodate	accommodate	accommodative	0	True	True	1	True	True	10	5	5	0	13	7	6	0	False	True	True	3	0.0
accomodate	accommodate	accommodation	0	True	True	1	True	True	10	5	5	0	13	7	6	0	False	True	True	4	0.0
accomodate	accommodate	accommodating	0	True	True	1	True	True	10	5	5	0	13	8	5	0	False	True	True	4	0.0
accomodate	accommodate	commemorate	0	True	True	1	True	True	10	5	5	0	11	6	5	0	False	False	False	6	0.0
accomodate	accommodate	accompanist	0	True	True	1	True	True	10	5	5	0	11	7	4	0	False	False	False	6	0.0
accomodate	accommodate	accompanied	0	True	True	1	True	True	10	5	5	0	11	6	5	0	False	False	False	5	0.0
acommadate	accommodate	accommodate	1	True	True	2	True	True	10	5	5	0	11	6	5	0	False	True	True	2	0.0
acommadate	accommodate	accommodative	0	True	True	2	True	True	10	5	5	0	13	7	6	0	False	True	True	4	0.0
acommadate	accommodate	commentate	0	True	True	2	True	True	10	5	5	0	10	6	4	0	False	False	False	4	0.0
acommadate	accommodate	commutate	0	True	True	2	True	True	10	5	5	0	9	5	4	0	False	False	False	3	0.0
acommadate	accommodate	accommodating	0	True	True	2	True	True	10	5	5	0	13	8	5	0	False	True	True	5	0.0
acommadate	accommodate	accommodation	0	True	True	2	True	True	10	5	5	0	13	7	6	0	False	True	True	5	0.0
acord	accord	cord	0	True	True	1	True	True	5	3	2	0	4	3	1	0	False	False	False	1	0.0
acord	accord	accord	1	True	True	1	True	True	5	3	2	0	6	4	2	0	False	True	True	1	0.0
acord	accord	acorn	0	True	True	1	True	True	5	3	2	0	5	3	2	0	False	False	False	1	0.0
acord	accord	a cord	0	True	True	1	True	True	5	3	2	0	6	3	2	0	True	True	True	1	0.0
acord	accord	Cordoba	0	True	True	1	True	True	5	3	2	0	7	4	3	1	False	False	False	5	0.0
acord	accord	Cord	0	True	True	1	True	True	5	3	2	0	4	3	1	1	False	False	False	2	0.0
acord	accord	Draco	0	True	True	1	True	True	5	3	2	0	5	3	2	1	False	False	False	4	0.0
acord	accord	ardor	0	True	True	1	True	True	5	3	2	0	5	3	2	0	False	False	False	3	0.0
acord	accord	actor	0	True	True	1	True	True	5	3	2	0	5	3	2	0	False	False	False	2	0.0
acord	accord	Acton	0	True	True	1	True	True	5	3	2	0	5	3	1	1	False	False	False	4	0.0
aquantance	acquaintance	acquaintance	1	True	True	2	True	True	10	5	5	0	12	6	6	0	False	True	True	2	0.0
aquantance	acquaintance	acquittance	0	True	True	2	True	True	10	5	5	0	11	6	5	0	False	False	False	3	0.0
aquantance	acquaintance	quittance	0	True	True	2	True	True	10	5	5	0	9	5	4	0	False	False	False	3	0.0
aquantance	acquaintance	aquanaut	0	True	True	2	True	True	10	5	5	0	8	3	5	0	False	True	True	4	0.0
aquantance	acquaintance	accountancy	0	True	True	2	True	True	10	5	5	0	11	7	4	0	False	True	True	5	0.0
aquantance	acquaintance	quaintness	0	True	True	2	True	True	10	5	5	0	10	6	4	0	False	False	False	6	0.0
equire	acquire	quire	0	True	False	2	False	True	6	2	4	0	5	2	3	0	False	False	False	1	0.0
equire	acquire	esquire	0	True	False	2	False	True	6	2	4	0	7	3	4	0	False	True	False	1	0.0
equire	acquire	require	0	True	False	2	False	True	6	2	4	0	7	3	4	0	False	False	False	1	0.0
equire	acquire	squire	0	True	False	2	False	True	6	2	4	0	6	3	3	0	False	False	False	1	0.0
equire	acquire	equine	0	True	False	2	False	True	6	2	4	0	6	2	4	0	False	False	False	1	0.0
equire	acquire	e quire	0	True	False	2	False	True	6	2	4	0	7	2	4	0	True	True	True	1	0.0
equire	acquire	Requiem	0	True	False	2	False	True	6	2	4	0	7	3	4	1	False	False	False	3	0.0
equire	acquire	requiem	0	True	False	2	False	True	6	2	4	0	7	3	4	0	False	False	False	3	0.0
equire	acquire	requite	0	True	False	2	False	True	6	2	4	0	7	3	4	0	False	False	False	2	0.0
equire	acquire	squirrel	0	True	False	2	False	True	6	2	4	0	8	5	3	0	False	False	False	3	0.0
equire	acquire	equerry	0	True	False	2	False	True	6	2	4	0	7	4	3	0	False	True	True	3	0.0
equire	acquire	Aguirre	0	True	False	2	False	True	6	2	4	0	7	3	3	1	False	False	True	3	0.0
adultry	adultery	adultery	1	True	True	1	True	True	7	5	2	0	8	5	3	0	False	True	True	1	0.0
adultry	adultery	adultly	0	True	True	1	True	True	7	5	2	0	7	5	2	0	False	True	True	1	0.0
adultry	adultery	adulatory	0	True	True	1	True	True	7	5	2	0	9	5	4	0	False	True	True	2	0.0
adultry	adultery	adulterer	0	True	True	1	True	True	7	5	2	0	9	5	4	0	False	True	True	3	0.0
adultry	adultery	adult	0	True	True	1	True	True	7	5	2	0	5	3	2	0	False	True	True	2	0.0
adultry	adultery	sultry	0	True	True	1	True	True	7	5	2	0	6	5	1	0	False	False	False	2	0.0
adultry	adultery	idolatry	0	True	True	1	True	True	7	5	2	0	8	5	3	0	False	False	True	3	0.0
adultry	adultery	adulator	0	True	True	1	True	True	7	5	2	0	8	4	4	0	False	True	True	3	0.0
aggresive	aggressive	aggressive	1	True	True	1	True	True	9	5	4	0	10	6	4	0	False	True	True	1	0.0
aggresive	aggressive	aggregative	0	True	True	1	True	True	9	5	4	0	11	6	5	0	False	True	False	3	0.0
aggresive	aggressive	aggression	0	True	True	1	True	True	9	5	4	0	10	6	4	0	False	True	True	3	0.0
aggresive	aggressive	regressive	0	True	True	1	True	True	9	5	4	0	10	6	4	0	False	False	False	3	0.0
aggresive	aggressive	aggressor	0	True	True	1	True	True	9	5	4	0	9	6	3	0	False	True	True	3	0.0
aggresive	aggressive	caressive	0	True	True	1	True	True	9	5	4	0	9	5	4	0	False	False	False	4	0.0
aggresive	aggressive	aggrieved	0	True	True	1	True	True	9	5	4	0	9	5	4	0	False	False	False	4	0.0
alchohol	alcohol	alcohol	1	True	True	1	True	False	8	5	3	0	7	4	3	0	False	True	False	1	0.0
alchohol	alcohol	chocoholic	0	True	True	1	True	False	8	5	3	0	10	6	4	0	False	False	False	6	0.0
alchohol	alcohol	choral	0	True	True	1	True	False	8	5	3	0	6	4	2	0	False	False	False	4	0.0
alchohol	alcohol	chocolate	0	True	True	1	True	False	8	5	3	0	9	5	4	0	False	False	False	6	0.0
alchohol	alcohol	chocolaty	0	True	True	1	True	False	8	5	3	0	9	6	3	0	False	False	False	6	0.0
alchohol	alcohol	alchemical	0	True	True	1	True	False	8	5	3	0	10	6	4	0	False	False	False	5	0.0
alchohol	alcohol	alchemist	0	True	True	1	True	False	8	5	3	0	9	6	3	0	False	False	False	5	0.0
alchoholic	alcoholic	alcoholic	1	True	True	1	True	False	10	6	4	0	9	5	4	0	False	True	False	1	0.0
alchoholic	alcoholic	chocoholic	0	True	True	1	True	False	10	6	4	0	10	6	4	0	False	False	False	4	0.0
alchoholic	alcoholic	alcoholism	0	True	True	1	True	False	10	6	4	0	10	6	4	0	False	True	False	3	0.0
alchoholic	alcoholic	alcohol	0	True	True	1	True	False	10	6	4	0	7	4	3	0	False	True	False	3	0.0
alchoholic	alcoholic	melancholic	0	True	True	1	True	False	10	6	4	0	11	7	4	0	False	False	False	5	0.0
alchoholic	alcoholic	alchemical	0	True	True	1	True	False	10	6	4	0	10	6	4	0	False	False	False	6	0.0
alchoholic	alcoholic	alchemist	0	True	True	1	True	False	10	6	4	0	9	6	3	0	False	False	False	6	0.0
allieve	alive	Allie	0	True	False	2	True	True	7	3	4	0	5	2	2	1	False	False	False	3	0.0
allieve	alive	Vallie	0	True	False	2	True	True	7	3	4	0	6	3	3	1	False	False	False	3	0.0
allieve	alive	allier	0	True	False	2	True	True	7	3	4	0	6	3	3	0	False	False	False	2	0.0
allieve	alive	allies	0	True	False	2	True	True	7	3	4	0	6	3	3	0	False	False	False	2	0.0
allieve	alive	allover	0	True	False	2	True	True	7	3	4	0	7	4	3	0	False	False	False	3	0.0
allieve	alive	alleviate	0	True	False	2	True	True	7	3	4	0	9	4	5	0	False	False	False	4	0.0
alright	all_right	alight	0	False	False	2	True	True	7	5	2	0	6	4	2	0	False	False	False	1	0.0
alright	all_right	aright	0	False	False	2	True	True	7	5	2	0	6	4	2	0	False	False	False	1	0.0
alright	all_right	alright	0	False	False	2	True	True	7	5	2	0	7	5	2	0	False	True	True	0	0.0
alright	all_right	already	0	False	False	2	True	True	7	5	2	0	7	4	3	0	False	False	True	4	0.0
alright	all_right	alluring	0	False	False	2	True	True	7	5	2	0	8	5	3	0	False	False	False	5	0.0
amature	amateur	mature	0	True	True	2	True	True	7	3	4	0	6	3	3	0	False	False	False	1	0.0
amature	amateur	armature	0	True	True	2	True	True	7	3	4	0	8	4	4	0	False	False	False	1	0.0
amature	amateur	amateur	1	True	True	2	True	True	7	3	4	0	7	3	4	0	False	True	True	2	0.0
amature	amateur	a mature	0	True	True	2	True	True	7	3	4	0	8	3	4	0	True	True	True	1	0.0
amature	amateur	maturate	0	True	True	2	True	True	7	3	4	0	8	4	4	0	False	False	False	3	0.0
amature	amateur	stature	0	True	True	2	True	True	7	3	4	0	7	4	3	0	False	False	False	2	0.0
amature	amateur	creature	0	True	True	2	True	True	7	3	4	0	8	4	4	0	False	False	False	3	0.0
amature	amateur	feature	0	True	True	2	True	True	7	3	4	0	7	3	4	0	False	False	False	2	0.0
amature	amateur	amatory	0	True	True	2	True	True	7	3	4	0	7	4	3	0	False	True	True	2	0.0
amature	amateur	Amtrak	0	True	True	2	True	True	7	3	4	0	6	4	1	1	False	True	True	5	0.0
ambivilant	ambivalent	ambivalent	1	True	True	2	True	True	10	6	4	0	10	6	4	0	False	True	True	2	0.0
ambivilant	ambivalent	ambulant	0	True	True	2	True	True	10	6	4	0	8	5	3	0	False	True	False	3	0.0
ambivilant	ambivalent	vigilantism	0	True	True	2	True	True	10	6	4	0	11	7	4	0	False	False	False	7	0.0
ambivilant	ambivalent	vigilant	0	True	True	2	True	True	10	6	4	0	8	5	3	0	False	False	False	4	0.0
ambivilant	ambivalent	ambivalence	0	True	True	2	True	True	10	6	4	0	11	6	5	0	False	True	True	4	0.0
ambivilant	ambivalent	bivalent	0	True	True	2	True	True	10	6	4	0	8	5	3	0	False	False	False	4	0.0
amourfous	amorphous	amorous	0	True	True	3	True	True	9	4	5	0	7	3	4	0	False	False	False	2	0.0
amourfous	amorphous	amorphous	1	True	True	3	True	True	9	4	5	0	9	5	4	0	False	True	True	3	0.0
amourfous	amorphous	amours	0	True	True	3	True	True	9	4	5	0	6	3	3	0	False	False	False	3	0.0
amourfous	amorphous	famousness	0	True	True	3	True	True	9	4	5	0	10	6	4	0	False	False	False	5	0.0
amourfous	amorphous	amphibious	0	True	True	3	True	True	9	4	5	0	10	5	5	0	False	False	False	5	0.0
amourfous	amorphous	emphysema	0	True	True	3	True	True	9	4	5	0	9	6	3	0	False	False	False	8	0.0
amification	amplification	ramification	0	True	True	2	False	False	11	5	6	0	12	6	6	0	False	False	False	1	0.0
amification	amplification	amplification	1	True	True	2	False	False	11	5	6	0	13	7	6	0	False	False	False	2	0.0
amification	amplification	mummification	0	True	True	2	False	False	11	5	6	0	13	7	6	0	False	False	False	3	0.0
amification	amplification	mortification	0	True	True	2	False	False	11	5	6	0	13	7	6	0	False	False	False	4	0.0
amification	amplification	magnification	0	True	True	2	False	False	11	5	6	0	13	7	6	0	False	False	False	3	0.0
amification	amplification	emulsification	0	True	True	2	False	False	11	5	6	0	14	7	7	0	False	False	False	4	0.0
amification	amplification	modification	0	True	True	2	False	False	11	5	6	0	12	6	6	0	False	False	False	3	0.0
anonomy	anatomy	antinomy	0	True	False	2	False	False	7	4	3	0	8	5	3	0	False	False	False	2	0.0
anonomy	anatomy	agronomy	0	True	False	2	False	False	7	4	3	0	8	5	3	0	False	False	False	2	0.0
anonomy	anatomy	autonomy	0	True	False	2	False	False	7	4	3	0	8	4	4	0	False	False	False	2	0.0
anonomy	anatomy	astronomy	0	True	False	2	False	False	7	4	3	0	9	6	3	0	False	False	False	3	0.0
anonomy	anatomy	anonymity	0	True	False	2	False	False	7	4	3	0	9	6	3	0	False	False	True	3	0.0
anonomy	anatomy	anonymous	0	True	False	2	False	False	7	4	3	0	9	5	4	0	False	False	True	4	0.0
anotomy	anatomy	anatomy	1	True	True	1	True	True	7	4	3	0	7	4	3	0	False	True	True	1	0.0
anotomy	anatomy	antinomy	0	True	True	1	True	True	7	4	3	0	8	5	3	0	False	True	False	3	0.0
anotomy	anatomy	autonomy	0	True	True	1	True	True	7	4	3	0	8	4	4	0	False	False	False	3	0.0
anotomy	anatomy	Ottoman	0	True	True	1	True	True	7	4	3	0	7	4	2	1	False	False	False	5	0.0
anotomy	anatomy	ottoman	0	True	True	1	True	True	7	4	3	0	7	4	3	0	False	False	False	5	0.0
anotomy	anatomy	anatomic	0	True	True	1	True	True	7	4	3	0	8	4	4	0	False	True	True	3	0.0
anotomy	anatomy	antimony	0	True	True	1	True	True	7	4	3	0	8	5	3	0	False	True	True	4	0.0
annuncio	announce	an nuncio	0	True	True	3	True	True	8	4	4	0	9	4	4	0	True	True	False	1	0.0
annuncio	announce	an-nuncio	0	True	True	3	True	True	8	4	4	0	9	4	4	0	False	True	False	1	0.0
annuncio	announce	annunciation	0	True	True	3	True	True	8	4	4	0	12	6	6	0	False	False	True	4	0.0
annuncio	announce	Annunciation	0	True	True	3	True	True	8	4	4	0	12	6	5	1	False	False	True	5	0.0
annuncio	announce	annunciator	0	True	True	3	True	True	8	4	4	0	11	6	5	0	False	False	True	3	0.0
annuncio	announce	annunciate	0	True	True	3	True	True	8	4	4	0	10	5	5	0	False	False	True	3	0.0
annuncio	announce	announce	1	True	True	3	True	True	8	4	4	0	8	4	4	0	False	True	True	3	0.0
annuncio	announce	Ananias	0	True	True	3	True	True	8	4	4	0	7	3	3	1	False	True	False	6	0.0
annonsment	announcement	announcement	1	True	True	3	True	False	10	7	3	0	12	7	5	0	False	True	False	3	0.0
annonsment	announcement	anointment	0	True	True	3	True	False	10	7	3	0	10	6	4	0	False	False	False	3	0.0
annonsment	announcement	cantonment	0	True	True	3	True	False	10	7	3	0	10	7	3	0	False	False	False	3	0.0
annonsment	announcement	abandonment	0	True	True	3	True	False	10	7	3	0	11	7	4	0	False	False	False	4	0.0
annonsment	announcement	renouncement	0	True	True	3	True	False	10	7	3	0	12	7	5	0	False	False	False	5	0.0
annonsment	announcement	denouncement	0	True	True	3	True	False	10	7	3	0	12	7	5	0	False	False	False	5	0.0
annoint	anoint	anoint	1	True	True	1	True	True	7	4	3	0	6	3	3	0	False	True	True	1	0.0
annoint	anoint	Antonino	0	True	True	1	True	True	7	4	3	0	8	4	3	1	False	False	False	4	0.0
annoint	anoint	Antoine	0	True	True	1	True	True	7	4	3	0	7	3	3	1	False	False	False	3	0.0
annoint	anoint	antinomian	0	True	True	1	True	True	7	4	3	0	10	5	5	0	False	False	False	5	0.0
annoint	anoint	annoying	0	True	True	1	True	True	7	4	3	0	8	5	3	0	False	False	False	2	0.0
annoint	anoint	anent	0	True	True	1	True	True	7	4	3	0	5	3	2	0	False	True	True	3	0.0
annoint	anoint	inanity	0	True	True	1	True	True	7	4	3	0	7	4	3	0	False	False	True	5	0.0
anynomous	anonymous	anonymous	1	True	True	2	True	True	9	5	4	0	9	5	4	0	False	True	True	2	0.0
anynomous	anonymous	antonymous	0	True	True	2	True	True	9	5	4	0	10	6	4	0	False	False	False	3	0.0
anynomous	anonymous	synonymous	0	True	True	2	True	True	9	5	4	0	10	7	3	0	False	False	False	4	0.0
anynomous	anonymous	autonomous	0	True	True	2	True	True	9	5	4	0	10	4	6	0	False	False	False	3	0.0
anynomous	anonymous	anomalous	0	True	True	2	True	True	9	5	4	0	9	4	5	0	False	False	False	4	0.0
anynomous	anonymous	unanimous	0	True	True	2	True	True	9	5	4	0	9	4	5	0	False	False	True	3	0.0
anynomous	anonymous	animosity	0	True	True	2	True	True	9	5	4	0	9	5	4	0	False	False	False	6	0.0
appresteate	appreciate	appreciate	1	True	True	3	True	False	11	6	5	0	10	5	5	0	False	True	False	3	0.0
appresteate	appreciate	appropriate	0	True	True	3	True	False	11	6	5	0	11	6	5	0	False	False	False	4	0.0
appresteate	appreciate	approbate	0	True	True	3	True	False	11	6	5	0	9	5	4	0	False	False	False	4	0.0
appresteate	appreciate	pretreated	0	True	True	3	True	False	11	6	5	0	10	6	4	0	False	False	False	5	0.0
appresteate	appreciate	appraised	0	True	True	3	True	False	11	6	5	0	9	5	4	0	False	True	True	6	0.0
appresteate	appreciate	prestidigitate	0	True	True	3	True	False	11	6	5	0	14	8	6	0	False	False	False	8	0.0
appreceiated	appreciated	appreciated	1	True	True	1	True	True	12	6	6	0	11	6	5	0	False	True	True	1	0.0
appreceiated	appreciated	appreciate	0	True	True	1	True	True	12	6	6	0	10	5	5	0	False	True	True	2	0.0
appreceiated	appreciated	appropriated	0	True	True	1	True	True	12	6	6	0	12	7	5	0	False	False	False	3	0.0
appreceiated	appreciated	appreciative	0	True	True	1	True	True	12	6	6	0	12	6	6	0	False	True	True	4	0.0
appreceiated	appreciated	appreciator	0	True	True	1	True	True	12	6	6	0	11	6	5	0	False	True	True	3	0.0
appreceiated	appreciated	appraised	0	True	True	1	True	True	12	6	6	0	9	5	4	0	False	True	False	5	0.0
appreceiated	appreciated	precedented	0	True	True	1	True	True	12	6	6	0	11	7	4	0	False	False	False	5	0.0
archeype	archetype	archetype	1	True	True	1	False	False	8	5	3	0	9	6	3	0	False	False	False	1	0.0
archeype	archetype	archetypal	0	True	True	1	False	False	8	5	3	0	10	7	3	0	False	False	False	3	0.0
archeype	archetype	archery	0	True	True	1	False	False	8	5	3	0	7	5	2	0	False	False	False	3	0.0
archeype	archetype	archenemy	0	True	True	1	False	False	8	5	3	0	9	6	3	0	False	False	False	4	0.0
archeype	archetype	archer	0	True	True	1	False	False	8	5	3	0	6	4	2	0	False	False	False	3	0.0
archeype	archetype	archipelago	0	True	True	1	False	False	8	5	3	0	11	6	5	0	False	True	True	6	0.0
archeype	archetype	archbishop	0	True	True	1	False	False	8	5	3	0	10	7	3	0	False	True	True	6	0.0
aratictature	architecture	caricature	0	True	True	5	False	False	12	6	6	0	10	5	5	0	False	False	False	4	0.0
aratictature	architecture	bureaucratic	0	True	True	5	False	False	12	6	6	0	12	6	6	0	False	False	False	9	0.0
aratictature	architecture	architecture	1	True	True	5	False	False	12	6	6	0	12	7	5	0	False	False	False	5	0.0
aratictature	architecture	renaturation	0	True	True	5	False	False	12	6	6	0	12	6	6	0	False	False	False	9	0.0
aratictature	architecture	eradicator	0	True	True	5	False	False	12	6	6	0	10	5	5	0	False	False	True	5	0.0
aratictature	architecture	undereducated	0	True	True	5	False	False	12	6	6	0	13	7	6	0	False	False	False	11	0.0
aricticure	architecture	caricature	0	True	False	5	True	False	10	5	5	0	10	5	5	0	False	False	False	4	0.0
aricticure	architecture	agriculture	0	True	False	5	True	False	10	5	5	0	11	6	5	0	False	False	False	4	0.0
aricticure	architecture	reticular	0	True	False	5	True	False	10	5	5	0	9	5	4	0	False	False	False	6	0.0
aricticure	architecture	articulate	0	True	False	5	True	False	10	5	5	0	10	5	5	0	False	False	False	5	0.0
aricticure	architecture	aristocratic	0	True	False	5	True	False	10	5	5	0	12	7	5	0	False	True	False	7	0.0
aricticure	architecture	aristocrat	0	True	False	5	True	False	10	5	5	0	10	6	4	0	False	True	False	5	0.0
artic	arctic	attic	0	True	True	1	False	False	5	3	2	0	5	3	2	0	False	False	False	1	0.0
artic	arctic	aortic	0	True	True	1	False	False	5	3	2	0	6	3	3	0	False	True	True	1	0.0
artic	arctic	arctic	1	True	True	1	False	False	5	3	2	0	6	4	2	0	False	False	False	1	0.0
artic	arctic	antic	0	True	True	1	False	False	5	3	2	0	5	3	2	0	False	False	False	1	0.0
artic	arctic	article	0	True	True	1	False	False	5	3	2	0	7	4	3	0	False	True	True	2	0.0
artic	arctic	artistic	0	True	True	1	False	False	5	3	2	0	8	5	3	0	False	True	False	3	0.0
artic	arctic	articular	0	True	True	1	False	False	5	3	2	0	9	5	4	0	False	True	True	4	0.0
artic	arctic	Martica	0	True	True	1	False	False	5	3	2	0	7	4	3	1	False	False	False	2	0.0
artic	arctic	Attic	0	True	True	1	False	False	5	3	2	0	5	3	1	1	False	False	False	2	0.0
artic	arctic	ataxic	0	True	True	1	False	False	5	3	2	0	6	3	3	0	False	False	False	3	0.0
asterick	asterisk	asterisk	1	True	True	1	True	True	8	5	3	0	8	5	3	0	False	True	True	1	0.0
asterick	asterisk	asteria	0	True	True	1	True	True	8	5	3	0	7	3	4	0	False	True	True	2	0.0
asterick	asterisk	trickster	0	True	True	1	True	True	8	5	3	0	9	7	2	0	False	False	False	7	0.0
asterick	asterisk	Eastwick	0	True	True	1	True	True	8	5	3	0	8	5	2	1	False	False	False	3	0.0
asterick	asterisk	hysteric	0	True	True	1	True	True	8	5	3	0	8	6	2	0	False	False	False	3	0.0
asterick	asterisk	Astrakhan	0	True	True	1	True	True	8	5	3	0	9	6	2	1	False	True	True	7	0.0
asterick	asterisk	astrakhan	0	True	True	1	True	True	8	5	3	0	9	6	3	0	False	True	True	6	0.0
asymetric	asymmetric	asymmetric	1	True	True	1	True	True	9	6	3	0	10	7	3	0	False	True	True	1	0.0
asymetric	asymmetric	symmetric	0	True	True	1	True	True	9	6	3	0	9	7	2	0	False	False	False	2	0.0
asymetric	asymmetric	asymmetry	0	True	True	1	True	True	9	6	3	0	9	7	2	0	False	True	True	3	0.0
asymetric	asymmetric	isometric	0	True	True	1	True	True	9	6	3	0	9	5	4	0	False	False	True	2	0.0
asymetric	asymmetric	diametric	0	True	True	1	True	True	9	6	3	0	9	5	4	0	False	False	False	3	0.0
asymetric	asymmetric	sociometric	0	True	True	1	True	True	9	6	3	0	11	6	5	0	False	False	False	5	0.0
asymetric	asymmetric	psychometric	0	True	True	1	True	True	9	6	3	0	12	9	3	0	False	False	False	4	0.0
asentote	asymptote	Hottentot	0	True	True	3	False	False	8	4	4	0	9	6	3	1	False	False	False	5	0.0
