non_word	real_word	jaro_winkler	levenshtein_distance	corpus	aspell_rank	aspell_n_candidates	edit_distance_rank	edit_distance_n_candidates
Chottago	Chautauqua	0.5499999999999999	6	birbeck	-1	9	-1	1
Chouativa	Chautauqua	0.76	5	birbeck	19	60	-1	1
Chtacu	Chautauqua	0.768888888888889	5	birbeck	-1	41	-1	1
Chuatackqua	Chautauqua	0.8655892255892256	4	birbeck	0	13	-1	1
Chuatuaque	Chautauqua	0.8874074074074074	5	birbeck	0	6	-1	1
Chuatuaton	Chautauqua	0.7638095238095238	7	birbeck	-1	13	-1	1
Chutaciqwa	Chautauqua	0.7638095238095238	4	birbeck	5	33	-1	1
Chutouko	Chautauqua	0.7666666666666667	5	birbeck	12	34	-1	1
Cuhtawa	Chautauqua	0.7371428571428572	6	birbeck	-1	30	-1	1
Quatauqua	Chautauqua	0.8546296296296297	3	birbeck	0	34	-1	1
Schtaka	Chautauqua	0.5738095238095239	7	birbeck	-1	21	-1	1
Shatacua	Chautauqua	0.7277777777777779	4	birbeck	15	48	-1	1
Shatakiwa	Chautauqua	0.6851851851851851	5	birbeck	22	62	-1	1
Shataqua	Chautauqua	0.763095238095238	3	birbeck	10	35	-1	1
Shautalkwa	Chautauqua	0.7333333333333334	4	birbeck	6	14	-1	1
Shawtachwa	Chautauqua	0.6666666666666666	5	birbeck	11	43	-1	1
Shawtapwa	Chautauqua	0.6851851851851851	5	birbeck	16	96	-1	1
Shawtowa	Chautauqua	0.6333333333333333	6	birbeck	-1	13	-1	1
Sheto	Chautauqua	0.5333333333333333	8	birbeck	-1	28	-1	21
Shitaka	Chautauqua	0.5738095238095239	6	birbeck	-1	38	-1	1
Showtalkaw	Chautauqua	0.5166666666666667	7	birbeck	-1	19	-1	1
Showtalkwa	Chautauqua	0.5166666666666667	6	birbeck	-1	28	-1	1
Showtucwa	Chautauqua	0.5314814814814816	6	birbeck	-1	10	-1	1
catauqua	Chautauqua	0.763095238095238	3	birbeck	2	11	-1	1
chacactur	Chautauqua	0.6185185185185186	6	birbeck	-1	22	-1	1
chatacuia	Chautauqua	0.7000000000000001	5	birbeck	10	12	-1	1
chataqua	Chautauqua	0.763095238095238	3	birbeck	10	12	-1	1
chataque	Chautauqua	0.6722222222222222	4	birbeck	17	18	-1	1
chatauchuia	Chautauqua	0.7311688311688312	5	birbeck	6	15	-1	1
chatauqua	Chautauqua	0.812962962962963	2	birbeck	8	11	-1	1
chautaucua	Chautauqua	0.8666666666666667	2	birbeck	0	10	-1	1
chautauqua	Chautauqua	0.9333333333333332	1	birbeck	0	15	-1	1
chetickway	Chautauqua	0.5333333333333333	8	birbeck	-1	6	-1	1
chictique	Chautauqua	0.5314814814814816	6	birbeck	15	20	-1	1
chitacwa	Chautauqua	0.5499999999999999	6	birbeck	9	10	-1	1
chitiquea	Chautauqua	0.5518518518518518	6	birbeck	17	19	-1	3
chituaquea	Chautauqua	0.7047619047619048	6	birbeck	9	27	-1	1
chtoawa	Chautauqua	0.5738095238095239	7	birbeck	-1	34	-1	1
sechectaquka	Chautauqua	0.5888888888888889	7	birbeck	-1	4	-1	1
shatakwa	Chautauqua	0.7083333333333334	5	birbeck	15	41	-1	1
shtalkwa	Chautauqua	0.5499999999999999	6	birbeck	-1	26	-1	1
sutalkway	Chautauqua	0.5314814814814816	7	birbeck	-1	8	-1	1
Crist	Christ	0.9500000000000001	1	birbeck	0	11	0	4
Christain	Christian	0.9777777777777777	2	birbeck	3	9	0	1
Chrismas	Christmas	0.9777777777777777	1	birbeck	4	11	0	1
Christ_mas	Christmas	0.98	1	birbeck	0	9	0	1
Christmis	Christmas	0.9555555555555556	1	birbeck	0	7	0	1
Cristmus	Christmas	0.8958333333333333	2	birbeck	0	27	0	1
cristmas	Christmas	0.8842592592592592	2	birbeck	0	15	-1	1
Cinderrella	Cinderella	0.9818181818181818	1	birbeck	0	7	0	1
des.	Dec	0.5277777777777778	3	birbeck	-1	50	-1	1
Decmber	December	0.9375	1	birbeck	0	8	0	1
Desember	December	0.9333333333333333	1	birbeck	0	8	0	1
Doc	Dr	0.611111111111111	2	birbeck	-1	25	-1	7
draculla's	Dracula's	0.8962962962962964	2	birbeck	0	19	-1	1
Dunstan	Dunstan's	0.9555555555555556	2	birbeck	-1	20	-1	4
Ester	Easter	0.9500000000000001	1	birbeck	5	23	-1	1
ester	Easter	0.8222222222222223	2	birbeck	16	25	-1	1
Estwood	Eastwood	0.9625	1	birbeck	2	8	0	1
ingish	English	0.8492063492063492	2	birbeck	2	17	-1	12
inglish	English	0.9047619047619048	1	birbeck	0	7	-1	1
Fab	Feb	0.7777777777777777	1	birbeck	6	26	3	11
Febuary	February	0.9375	1	birbeck	0	29	0	1
Feburary	February	0.9708333333333333	2	birbeck	0	8	0	1
feburay	February	0.8134920634920636	4	birbeck	2	33	-1	1
Franch	French	0.9111111111111112	1	birbeck	8	21	4	6
feirne	French	0.5555555555555555	6	birbeck	-1	28	-1	12
fench	French	0.8222222222222223	2	birbeck	15	27	-1	7
freach	French	0.7777777777777777	2	birbeck	12	17	-1	4
Firday	Friday	0.9500000000000001	2	birbeck	2	72	0	1
hallowen	Hallowe'en	0.8583333333333334	3	birbeck	-1	11	-1	1
Hitlar	Hitler	0.9333333333333333	1	birbeck	0	53	0	1
a	I	0.0	1	birbeck	41	50	-1	1
and	I	0.0	3	birbeck	-1	27	-1	1
are	I	0.0	3	birbeck	-1	48	-1	1
has	I	0.0	3	birbeck	-1	50	-1	1
he	I	0.0	2	birbeck	-1	51	-1	1
i	I	0.0	1	birbeck	9	50	-1	1
if	I	0.0	2	birbeck	25	50	-1	1
is	I	0.0	2	birbeck	30	50	-1	1
it	I	0.0	2	birbeck	18	50	-1	1
iy	I	0.0	2	birbeck	17	41	-1	14
ld	I	0.0	2	birbeck	-1	50	-1	20
we	I	0.0	2	birbeck	-1	52	-1	1
I'de	I'd	0.9166666666666666	1	birbeck	0	28	0	2
I'ed	I'd	0.9166666666666666	1	birbeck	0	31	0	1
I'ld	I'd	0.9166666666666666	1	birbeck	0	17	0	2
Ile	I'll	0.7222222222222222	2	birbeck	20	26	-1	6
Ill	I'll	0.9166666666666666	1	birbeck	1	26	-1	1
I'me	I'm	0.9166666666666666	1	birbeck	0	17	0	2
I'n	I'm	0.7777777777777777	1	birbeck	1	43	2	5
im	I'm	0.0	2	birbeck	14	50	-1	28
I'v	I've	0.9166666666666666	1	birbeck	0	45	0	4
Iev	I've	0.7222222222222222	2	birbeck	3	7	-1	1
Indian's	Indians	0.975	1	birbeck	2	14	-1	1
Irland	Ireland	0.9619047619047619	1	birbeck	2	15	0	1
Iresh	Irish	0.8933333333333333	1	birbeck	3	32	0	2
Januery	January	0.9428571428571428	1	birbeck	0	22	0	1
Jaly	July	0.8500000000000001	1	birbeck	4	86	1	2
Jun	June	0.9166666666666666	1	birbeck	2	24	-1	1
Lester	Leicester	0.8666666666666667	3	birbeck	-1	17	-1	1
Las_Angles	Los Angeles	0.8206818181818182	3	birbeck	-1	61	-1	1
Luks	Luke's	0.9222222222222222	2	birbeck	4	18	-1	5
Mayfeild	Mayfield	0.975	2	birbeck	-1	22	-1	1
Meditterranean	Mediterranean	0.9857142857142858	1	birbeck	0	3	0	1
mis	Miss	0.7222222222222222	2	birbeck	26	49	-1	25
Munday	Monday	0.9	1	birbeck	3	21	0	1
Mis	Mr	0.611111111111111	2	birbeck	-1	45	-1	13
Mrs	Mr	0.8888888888888888	1	birbeck	4	49	-1	1
Miss	Mrs	0.7222222222222222	2	birbeck	-1	29	-1	1
Mixss	Mrs	0.6888888888888888	3	birbeck	-1	31	-1	1
Mr's	Mrs	0.9166666666666666	1	birbeck	3	49	-1	1
Mrss	Mrs	0.9166666666666666	1	birbeck	0	11	0	4
Octber	October	0.9666666666666667	1	birbeck	0	13	0	1
pikaness	Pekinese	0.6833333333333332	4	birbeck	-1	46	-1	3
perllips	Philip's	0.5833333333333334	5	birbeck	-1	79	-1	1
Pyrannean	Pyrenean	0.8856481481481482	2	birbeck	-1	49	-1	1
rowles	Rolls	0.7000000000000001	3	birbeck	-1	95	-1	2
Samariton	Samaritan	0.9555555555555556	1	birbeck	0	9	0	1
Saterday	Saturday	0.9416666666666667	1	birbeck	0	17	0	1
Satuarday	Saturday	0.9527777777777777	1	birbeck	0	8	0	1
Scotts	Scots	0.9666666666666667	1	birbeck	2	12	1	2
Sep	Sept	0.9166666666666666	1	birbeck	1	29	0	10
Septenber	September	0.9555555555555556	1	birbeck	0	17	0	1
Septmber	September	0.9527777777777777	1	birbeck	0	3	0	1
shebre	Sheba	0.7000000000000001	3	birbeck	18	29	-1	23
Spanich	Spanish	0.9428571428571428	1	birbeck	1	22	0	1
Sanday	Sunday	0.9	1	birbeck	9	25	1	2
sweedish	Swedish	0.8690476190476191	2	birbeck	1	2	-1	1
Thems	Thames	0.9022222222222223	2	birbeck	17	31	-1	1
Teusday	Tuesday	0.9571428571428572	2	birbeck	0	18	0	1
Tusday	Tuesday	0.9619047619047619	1	birbeck	0	32	0	1
Tuseday	Tuesday	0.9619047619047619	2	birbeck	0	68	0	1
vitiorian	Victorian	0.8042328042328042	3	birbeck	-1	11	-1	1
Wdendsdy	Wednesday	0.8101190476190476	4	birbeck	-1	21	-1	1
Wedensday	Wednesday	0.9740740740740741	2	birbeck	0	3	0	1
Wensday	Wednesday	0.9026455026455026	2	birbeck	4	23	1	2
Wesh	Welsh	0.9466666666666665	1	birbeck	2	7	0	4
exrays	X-rays	0.7777777777777777	2	birbeck	-1	23	-1	20
I	a	0.0	1	birbeck	-1	34	-1	1
ah	a	0.8333333333333334	1	birbeck	2	50	-1	1
an	a	0.8333333333333334	1	birbeck	5	50	-1	1
and	a	0.7777777777777777	2	birbeck	-1	27	-1	1
are	a	0.7777777777777777	2	birbeck	-1	48	-1	1
as	a	0.8333333333333334	1	birbeck	5	50	-1	1
the	a	0.0	3	birbeck	-1	22	-1	1
aquiver	a-quiver	0.9625	1	birbeck	-1	6	-1	2
abit	a bit	0.94	1	birbeck	-1	9	-1	7
afew	a few	0.94	1	birbeck	-1	38	-1	2
alitl	a little	0.8875	3	birbeck	-1	36	-1	27
alittle	a little	0.9625	1	birbeck	-1	9	-1	1
along	a long	0.9500000000000001	1	birbeck	-1	17	-1	1
alook	a look	0.9500000000000001	1	birbeck	-1	34	-1	2
alot	a lot	0.94	1	birbeck	-1	11	-1	10
alote	a lot	0.88	2	birbeck	-1	38	-1	2
lot	a lot	0.0	2	birbeck	-1	44	-1	1
amusum	a museum	0.9249999999999999	2	birbeck	-1	20	-1	4
abbatoir	abattoir	0.9333333333333333	2	birbeck	0	11	0	1
abhorence	abhorrence	0.98	1	birbeck	0	4	0	1
abbility	ability	0.9666666666666667	1	birbeck	0	16	0	1
abilaty	ability	0.9428571428571428	1	birbeck	0	18	0	1
abillity	ability	0.975	1	birbeck	0	14	0	1
abilty	ability	0.9714285714285714	1	birbeck	0	25	0	1
ablity	ability	0.9174603174603175	1	birbeck	1	25	0	1
aball	able	0.8266666666666667	2	birbeck	7	31	-1	1
abel	able	0.9333333333333333	2	birbeck	0	11	0	5
abule	able	0.9466666666666665	1	birbeck	0	25	0	2
alb	able	0.8055555555555555	2	birbeck	-1	22	-1	1
able_bodied	able-bodied	0.9636363636363636	1	birbeck	-1	19	-1	1
a_belt	about	0.7300000000000001	3	birbeck	-1	19	-1	3
a_bot	about	0.88	2	birbeck	2	14	-1	1
a_bout	about	0.9500000000000001	1	birbeck	0	8	0	1
a_but	about	0.88	2	birbeck	1	10	-1	1
a_pelt	about	0.5777777777777778	4	birbeck	-1	9	-1	3
aboat	about	0.9066666666666667	1	birbeck	4	28	2	3
aboit	about	0.9066666666666667	1	birbeck	0	12	0	2
abont	about	0.9066666666666667	1	birbeck	1	22	0	2
aboo	about	0.8483333333333334	2	birbeck	4	57	-1	2
abot	about	0.9533333333333333	1	birbeck	1	9	0	8
abote	about	0.9066666666666667	2	birbeck	3	16	-1	3
abou	about	0.96	1	birbeck	0	52	0	1
abought	about	0.9428571428571428	2	birbeck	3	8	-1	1
abould	about	0.8933333333333334	2	birbeck	1	22	-1	1
abound	about	0.8933333333333334	2	birbeck	5	10	-1	1
abowt	about	0.9066666666666667	1	birbeck	1	17	0	2
abunt	about	0.8933333333333333	2	birbeck	3	12	-1	3
abuot	about	0.9466666666666665	2	birbeck	1	6	1	3
ad	about	0.5666666666666667	4	birbeck	-1	49	-1	1
adeaut	about	0.7300000000000001	3	birbeck	24	56	-1	5
adot	about	0.8049999999999999	2	birbeck	-1	7	-1	4
adout	about	0.88	1	birbeck	5	71	1	2
arand	about	0.4666666666666666	4	birbeck	-1	30	-1	3
bout	about	0.9333333333333332	1	birbeck	3	16	-1	1
of	about	0.0	4	birbeck	-1	49	-1	1
out	about	0.0	2	birbeck	-1	29	-1	1
to	about	0.5666666666666667	4	birbeck	-1	50	-1	1
urbote	about	0.7000000000000001	4	birbeck	23	47	-1	5
a	above	0.7333333333333334	4	birbeck	-1	50	-1	1
a_barth	above	0.5619047619047619	5	birbeck	-1	18	-1	1
a_beyied	above	0.6583333333333333	5	birbeck	-1	15	-1	1
a_bof	above	0.76	3	birbeck	1	57	-1	3
a_bother	above	0.7899999999999999	4	birbeck	-1	5	-1	2
a_bueve	above	0.7364285714285714	3	birbeck	10	36	-1	1
a_buth	above	0.5777777777777778	4	birbeck	-1	28	-1	3
a_buve	above	0.8400000000000001	2	birbeck	1	19	1	2
abaeth	above	0.76	4	birbeck	-1	19	-1	8
abahe	above	0.7866666666666667	2	birbeck	10	24	-1	2
aboat	above	0.8133333333333334	2	birbeck	-1	28	-1	3
aboer	above	0.9066666666666667	2	birbeck	2	39	-1	1
abofe	above	0.9066666666666667	1	birbeck	0	14	1	2
abost	above	0.8133333333333334	2	birbeck	-1	34	-1	2
abou	above	0.8483333333333334	2	birbeck	4	52	-1	1
about	above	0.8133333333333334	2	birbeck	-1	10	-1	1
abouth	above	0.79	3	birbeck	-1	18	-1	1
abouve	above	0.9611111111111111	1	birbeck	0	25	0	1
abowe	above	0.9066666666666667	1	birbeck	3	18	1	2
abuf	above	0.6333333333333333	3	birbeck	-1	30	-1	1
abuov	above	0.8933333333333333	2	birbeck	0	51	0	9
abuve	above	0.8933333333333333	1	birbeck	2	19	1	2
abve	above	0.9466666666666665	1	birbeck	0	6	0	4
adove	above	0.88	1	birbeck	3	27	3	4
aduv	above	0.6333333333333333	3	birbeck	-1	33	-1	1
alowe	above	0.76	2	birbeck	-1	30	-1	2
aovere	above	0.8400000000000001	3	birbeck	-1	42	-1	30
apuve	above	0.76	2	birbeck	8	31	15	22
bealove	above	0.8380952380952381	3	birbeck	-1	39	-1	2
beneath	above	0.5619047619047619	6	birbeck	-1	20	-1	1
buft	above	0.48333333333333334	4	birbeck	-1	9	-1	6
dong	above	0.48333333333333334	4	birbeck	-1	32	-1	1
obove	above	0.8666666666666667	1	birbeck	3	5	1	2
ubove	above	0.8666666666666667	1	birbeck	0	21	0	1
unbove	above	0.8222222222222223	2	birbeck	2	13	7	10
uove	above	0.7833333333333333	2	birbeck	-1	10	-1	7
upbudh	above	0.45555555555555555	5	birbeck	-1	38	-1	1
upbuve	above	0.7000000000000001	3	birbeck	2	5	-1	1
urborth	above	0.5619047619047619	5	birbeck	-1	18	-1	1
a_broad	abroad	0.9571428571428572	1	birbeck	0	10	0	1
abraod	abroad	0.9611111111111111	2	birbeck	0	19	0	1
abrod	abroad	0.9666666666666667	1	birbeck	0	31	0	1
absense	absence	0.9428571428571428	1	birbeck	3	17	0	1
absents	absence	0.8857142857142858	2	birbeck	-1	10	-1	1
apsent	absent	0.9	1	birbeck	1	8	1	2
absolutley	absolutely	0.98	2	birbeck	0	4	0	1
absolutly	absolutely	0.98	1	birbeck	0	5	0	1
apselutely	absolutely	0.8049999999999999	2	birbeck	1	14	0	1
abo	absorbed	0.7916666666666666	5	birbeck	-1	15	-1	4
absorbant	absorbent	0.9555555555555556	1	birbeck	2	9	0	1
absorbtion	absorption	0.96	1	birbeck	0	3	0	1
abse	abstract	0.7958333333333334	5	birbeck	-1	12	-1	8
Asurb	absurd	0.7000000000000001	3	birbeck	-1	41	-1	9
abeserbed	absurd	0.837037037037037	4	birbeck	2	13	-1	1
abscered	absurd	0.8736111111111112	3	birbeck	2	12	-1	3
abserb	absurd	0.8444444444444443	2	birbeck	9	24	-1	1
abserbd	absurd	0.8944444444444445	2	birbeck	2	6	2	4
abserbed	absurd	0.8736111111111112	3	birbeck	3	13	-1	1
abserd	absurd	0.9222222222222223	1	birbeck	0	8	0	1
abserded	absurd	0.8736111111111112	3	birbeck	0	15	-1	6
absered	absurd	0.8944444444444445	2	birbeck	1	15	2	13
abserid	absurd	0.8944444444444445	2	birbeck	1	14	1	2
abserred	absurd	0.8736111111111112	3	birbeck	4	14	-1	7
abserve	absurd	0.8222222222222222	3	birbeck	-1	16	-1	1
abserved	absurd	0.8736111111111112	3	birbeck	4	15	-1	1
abseved	absurd	0.8222222222222222	3	birbeck	10	16	-1	4
absevered	absurd	0.8574074074074074	4	birbeck	-1	5	-1	1
absorb	absurd	0.8444444444444443	2	birbeck	7	8	-1	1
absorbd	absurd	0.8944444444444445	2	birbeck	3	5	-1	3
absorbed	absurd	0.8736111111111112	3	birbeck	7	9	-1	1
absord	absurd	0.9222222222222223	1	birbeck	2	10	1	2
absored	absurd	0.8944444444444445	2	birbeck	2	12	-1	1
absred	absurd	0.9222222222222223	2	birbeck	3	12	1	25
absurb	absurd	0.9333333333333333	1	birbeck	0	4	0	2
absurbe	absurd	0.9095238095238095	2	birbeck	1	8	1	7
absurbed	absurd	0.95	2	birbeck	0	9	-1	1
absurded	absurd	0.95	2	birbeck	3	13	-1	1
absured	absurd	0.9714285714285714	1	birbeck	0	9	0	3
absurred	absurd	0.95	2	birbeck	1	10	1	8
aburd	absurd	0.9555555555555556	1	birbeck	0	23	0	1
aburve	absurd	0.8222222222222222	3	birbeck	-1	18	-1	7
adsurbed	absurd	0.8375000000000001	3	birbeck	-1	7	-1	1
apserved	absurd	0.75	4	birbeck	-1	7	-1	5
apubed	absurd	0.6944444444444443	4	birbeck	-1	18	-1	14
obsurd	absurd	0.888888888888889	1	birbeck	0	13	0	1
obsured	absurd	0.8492063492063492	2	birbeck	2	12	-1	1
abundence	abundance	0.9305555555555555	1	birbeck	0	4	0	1
abundent	abundant	0.95	1	birbeck	0	12	0	1
abouse	abuse	0.9555555555555556	1	birbeck	0	35	0	2
accademic	academic	0.9703703703703703	1	birbeck	0	9	0	1
acedemic	academic	0.8952380952380953	1	birbeck	0	8	0	1
academicly	academically	0.9666666666666667	2	birbeck	0	5	0	4
accademically	academically	0.9128205128205129	1	birbeck	0	10	0	1
acceed	accede	0.9666666666666667	2	birbeck	0	16	0	2
acellerate	accelerate	0.9466666666666665	2	birbeck	0	7	0	1
achsends	accents	0.7704761904761905	3	birbeck	10	13	-1	2
acept	accept	0.9555555555555556	1	birbeck	2	11	0	2
axcept	accept	0.9	1	birbeck	0	4	0	2
except	accept	0.7777777777777777	2	birbeck	-1	8	-1	1
Acceptable	acceptable	0.9333333333333332	1	birbeck	-1	4	0	1
accepball	acceptable	0.9127777777777778	3	birbeck	0	4	-1	1
acceptably	acceptable	0.96	1	birbeck	3	4	-1	1
acceptiable	acceptable	0.9818181818181818	1	birbeck	0	6	0	1
acceptible	acceptable	0.96	1	birbeck	0	4	0	1
aceptable	acceptable	0.9733333333333334	1	birbeck	0	4	0	1
aceptible	acceptable	0.9170370370370371	2	birbeck	0	7	0	1
acetable	acceptable	0.9466666666666665	2	birbeck	-1	17	0	4
ackceptable	acceptable	0.9757575757575758	1	birbeck	0	4	0	1
ackeptable	acceptable	0.9466666666666665	1	birbeck	0	5	0	1
acksecetable	acceptable	0.8177777777777777	4	birbeck	1	6	-1	1
ackseptable	acceptable	0.9248484848484849	2	birbeck	0	4	0	1
acseptable	acceptable	0.9466666666666665	1	birbeck	0	4	0	1
actable	acceptable	0.8438095238095238	3	birbeck	-1	21	-1	13
actceptable	acceptable	0.9224242424242424	1	birbeck	0	4	0	1
actseptable	acceptable	0.8952188552188552	2	birbeck	0	8	0	1
actsepterable	acceptable	0.8023931623931624	4	birbeck	1	4	-1	1
asseptable	acceptable	0.88	2	birbeck	0	7	0	1
axceptable	acceptable	0.94	1	birbeck	0	4	0	1
axceptiable	acceptable	0.9154545454545455	2	birbeck	0	7	0	1
axeptable	acceptable	0.9066666666666667	2	birbeck	0	5	0	3
ecceptable	acceptable	0.8962962962962964	1	birbeck	0	7	0	1
exactible	acceptable	0.7783068783068784	6	birbeck	-1	6	-1	1
exceptable	acceptable	0.8250000000000001	2	birbeck	5	7	2	3
excepteable	acceptable	0.7174242424242424	3	birbeck	4	5	-1	1
exceptial	acceptable	0.7000000000000001	5	birbeck	-1	10	-1	3
exceptible	acceptable	0.7523809523809524	3	birbeck	9	11	-1	1
exsaptible	acceptable	0.7523809523809524	5	birbeck	7	8	-1	1
exseptable	acceptable	0.7999999999999999	3	birbeck	3	5	-1	1
exsestible	acceptable	0.6666666666666666	5	birbeck	-1	13	-1	1
exzeptable	acceptable	0.7999999999999999	3	birbeck	3	5	-1	1
acceptence	acceptance	0.9377777777777778	1	birbeck	0	4	0	1
acepted	accepted	0.9666666666666667	1	birbeck	0	13	0	1
excepted	accepted	0.7222222222222222	2	birbeck	10	11	-1	1
execpted	accepted	0.7777777777777778	4	birbeck	-1	7	-1	3
acess	access	0.9555555555555556	1	birbeck	1	47	1	2
accessability	accessibility	0.9358974358974359	1	birbeck	2	6	0	1
accesible	accessible	0.98	1	birbeck	0	4	0	1
accessable	accessible	0.96	1	birbeck	2	6	0	1
accesing	accessing	0.9777777777777777	1	birbeck	0	4	0	3
accesion	accession	0.9777777777777777	1	birbeck	0	13	0	1
a_canet	accident	0.7417857142857143	4	birbeck	-1	44	-1	1
acadent	accident	0.8952380952380953	2	birbeck	0	12	0	7
acats	accident	0.5499999999999999	6	birbeck	-1	77	-1	3
accdient	accident	0.9708333333333333	2	birbeck	0	6	0	1
accedent	accident	0.9083333333333333	1	birbeck	2	8	0	1
accend	accident	0.9027777777777778	3	birbeck	-1	8	-1	2
accicent	accident	0.95	1	birbeck	0	6	0	1
acciendent	accident	0.9349999999999999	2	birbeck	0	5	0	1
accierdent	accident	0.9349999999999999	2	birbeck	0	8	0	1
accsident	accident	0.9740740740740741	1	birbeck	0	6	0	1
accxident	accident	0.9740740740740741	1	birbeck	0	6	0	1
acddent	accident	0.8952380952380953	2	birbeck	0	9	0	5
acdend	accident	0.8555555555555556	3	birbeck	3	14	-1	1
acdent	accident	0.9333333333333333	2	birbeck	2	9	-1	2
acedcedt	accident	0.8222222222222222	4	birbeck	-1	7	-1	1
acedent	accident	0.8507936507936509	2	birbeck	3	15	1	5
aciadent	accident	0.9333333333333333	2	birbeck	-1	6	0	1
aciddent	accident	0.9333333333333333	2	birbeck	2	13	0	1
acident	accident	0.9666666666666667	1	birbeck	0	10	0	1
aciedent	accident	0.8952380952380953	2	birbeck	0	12	0	1
acist	accident	0.8133333333333332	4	birbeck	-1	21	-1	1
acs	accident	0.6388888888888888	6	birbeck	-1	50	-1	15
acsdent	accident	0.8952380952380953	2	birbeck	0	7	1	6
acsedent	accident	0.8222222222222222	2	birbeck	2	10	1	2
acsident	accident	0.9333333333333333	1	birbeck	0	7	0	1
addinent	accident	0.75	3	birbeck	-1	18	-1	1
advainet	accident	0.75	5	birbeck	-1	18	-1	1
afanat	accident	0.625	6	birbeck	-1	35	-1	1
