non_word	real_word	jaro_winkler	levenshtein_distance	corpus	aspell_rank	edit_distance_rank
auxillary	auxiliary	0.9555555555555556	1	norvig	0	0
carrer	career	0.8755555555555556	1	norvig	5	6
muinets	minutes	0.9142857142857143	3	norvig	3	-1
spledid	splendid	0.975	1	norvig	0	0
splended	splendid	0.95	1	norvig	0	0
splened	splendid	0.9214285714285715	2	norvig	3	3
splended	splendid	0.95	1	norvig	0	0
contenpted	contented	0.98	1	norvig	0	0
contende	contented	0.9527777777777777	2	norvig	5	-1
contended	contented	0.9305555555555555	1	norvig	10	-1
contentid	contented	0.9555555555555556	1	norvig	2	0
experance	experience	0.9127777777777778	2	norvig	1	1
experiance	experience	0.9377777777777778	1	norvig	0	0
perple	purple	0.9	1	norvig	2	2
perpul	purple	0.7999999999999999	3	norvig	10	-1
poarple	purple	0.8642857142857143	2	norvig	1	1
liaision	liaison	0.975	1	norvig	0	0
liason	liaison	0.9666666666666667	1	norvig	0	0
definately	definitely	0.96	1	norvig	0	0
difinately	definitely	0.8733333333333333	2	norvig	2	0
annt	aunt	0.8500000000000001	1	norvig	2	2
anut	aunt	0.9249999999999999	2	norvig	0	0
arnt	aunt	0.8500000000000001	1	norvig	4	3
planed	planned	0.9714285714285714	1	norvig	3	-1
defenitions	definitions	0.9109090909090909	1	norvig	1	0
paralel	parallel	0.9464285714285714	1	norvig	1	0
paralell	parallel	0.975	2	norvig	0	0
parrallel	parallel	0.9740740740740741	1	norvig	0	0
parralell	parallel	0.9449074074074074	3	norvig	0	0
parrallell	parallel	0.9533333333333333	2	norvig	0	0
lates	latest	0.9666666666666667	1	norvig	0	0
latets	latest	0.9666666666666667	2	norvig	2	0
latiest	latest	0.9666666666666667	1	norvig	0	0
latist	latest	0.9222222222222223	1	norvig	1	1
inetials	initials	0.8952380952380953	1	norvig	2	0
inistals	initials	0.9416666666666667	2	norvig	-1	0
initails	initials	0.975	2	norvig	0	0
initals	initials	0.975	1	norvig	0	0
intials	initials	0.9285714285714286	1	norvig	0	0
